key_0,artist_name,track_name,release_date,genre,lyrics,romantic,communication,spiritual,sad,feelings,danceability,valence,energy,topic,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
10,lcd soundsystem,i can change,2010,pop,tell line easy open arm dance feel right good dark good dark lover light come fight ring alarm ring alarm bore hold cling come come ask disastrous hop hop hop feel go away change change change change change change change fell change change change change change change change fell time best time line home dash hop dash hop smash pride morning rope murderer murderer call tonight right yeah know curse shove hearse open book poetry come change change change change change change change help fall fall turn light easy feel divide fumble kitchen right awful sight eye eye eye maybe fight night change change change change change change change help fall change change change change change change change help feel real change change change change change change change help feel real,0.019288905946416537,0.0003905289625138584,0.0003905289194263622,0.04893997390088349,0.0754082100141363,0.528797256400806,0.5801172608736508,0.6126855140756637,world/life,9,5,4,53,5,13,4,6,7,19
11,miley cyrus,stay,2010,pop,good hear voice fine wonder lonely tonight lose moment time keep slip wish miss need today face change place get harder sorry come home come home stay stay live tear fall eye feel tear apart inside look star hop feel closer hear miss need today face change place get harder sorry come home come home stay stay stay wanna lose choose stay stay hold cause heart stop today face change place get harder everyday sorry come home come home stay stay stay sorry come home come home stay stay stay,0.0005470032600470542,0.0005470032827670438,0.0005470032426543989,0.429527490272822,0.04871100970269141,0.5144008273187156,0.33590237835403597,0.6600710992505979,sadness,3,3,3,6,2,4,4,2,2,5
12,michael jackson,hold my hand,2010,pop,akon yeah yeah life forever hold hand tell wait hold hand better hold hand miserable hold hand cause right yeah cause get dark get cold hold sunlight hold hand baby promise things better hold hand come hold hold hold hold hold hold hand hold hand nights get darker hold hand peace inside yeah live harder hold hand fight tonight baby cause right cause get dark get cold hold sunlight hold hand baby promise things better hold hand come hold hold hold hold hold hold hand hold hand tell tire lonely yeah hand baby hold hold hand come hold hand cause right morning hold hand tell tire lonely hold hand hand baby hold hold come cause right morning hold hand hold hand yeah baby promise things better hold hand come hold hold hold hold hold hold hand hold hand hold hand yeah yeah yeah yeah hold hand hold hand come hold hold hold hold hold hold hand hold hold hand hold hand,0.5144445252323069,0.07871813675651282,0.00028771750357882696,0.00028771746723888907,0.0002877174642548995,0.5027359049583727,0.31408570069156083,0.6146192476215048,romantic,4,2,3,3,10,5,0,4,10,7
13,billy ocean,love really hurts without you,2010,pop,like fool think groovy givin give nothin paint smile dress excite know turn know wrong stop pain inside baby hurt hurt break heart baby hurt hurt break heart walk like dream like queen action lyric commercial,0.0011074753764316225,0.05546548795309876,0.0011074753625340498,0.3453916149122522,0.0011074753785867138,0.3755089945850213,0.5956386866026522,0.6179256286134626,sadness,5,1,1,6,4,5,4,1,5,7
14,anarbor,gypsy woman,2010,pop,think take soul know woman control lie yeah cast spell woman ring bell hell knock right satan door heavens quick take knees pray save liar untie rope wrap finger think lose self control feel hole leave woman rob best say couldn woman wear black wed hell knock right satan door heavens quick take knees pray save liar untie rope wrap finger think lose self control cause need givin woman stay hell away cause need givin woman stay hell away cause need givin woman stay fuck away save yeah save liar untie rope wrap finger think lose self control yeah liar untie rope wrap finger think lose self control self control,0.09843071560109268,0.10468360417608016,0.0005032501296467487,0.12138931812819015,0.0005032501518418588,0.3730522927118189,0.5723729622648903,0.7055763907164816,violence,10,2,14,11,12,12,7,9,12,21
15,my chemical romance,bulletproof heart,2010,pop,gravity mean pig away like yesterday away away away bulletproof heart hollowpoint smile runaway scar photograph dream getaway mile blow hole talk laser beam gun place bullet embrace come home cause everybody know want come save gravity mean pig away like yesterday away away away shoot room sure like company stop preach right cause care head get kind cramp know come ready motor get paper come home cause everybody know want tell truth save gravity mean pig away like yesterday away away away know hate go save black hopeless feel mean come reel hold heart darkness light shine fail leave strand go leave stand aren go leave stand aren go ones leave stand gravity mean destiny world away like yesterday away away away away yeah away away,0.00044992640974374405,0.14032463509373105,0.00044992640880537753,0.3427309236923221,0.026827059075376358,0.31785279827475776,0.31660834400486226,0.8129287606549805,sadness,5,3,5,6,7,10,6,8,12,16
16,the downtown fiction,i just wanna run,2010,pop,wanna hide away chase wanna throw away find wanna wanna house reach phone gather nerve pack deserve treat like drag feelin like talk repeat word lose mean talk repeat wanna hide away chase wanna throw away find wanna wanna like game chess predict think know better better sick feel cheap cheat abuse sick lose sleep think prechorus feelin like talk repeat word lose mean talk repeat wanna hide away chase wanna throw away find wanna wanna throw away wanna hide away chase wanna throw away find wanna wanna hide away chase wanna throw away find wanna wanna wanna,0.0005452969973119441,0.08815382183790453,0.0005452969948202371,0.2545365759487255,0.0005452970178372238,0.5451765091344468,0.5691947548930092,0.5533886952617209,sadness,7,3,8,10,1,7,4,4,9,14
17,the tallest man on earth,love is all,2010,pop,walk river like easier land evil pocket hand hand throw current stand hear heart learn kill learn kill say rise harness ghost come tear like lyric commercial,0.002775271707676498,0.002775271721352185,0.002775272092886989,0.16508881982722046,0.0027752716120937808,0.8028313987637277,0.4664967306619418,0.3325017571005643,violence,1,0,1,4,0,3,0,0,3,3
18,vampire weekend,white sky,2010,pop,ancient business modern piece glasswork corner walk pass elderly sales clerk suspicion immortal corporation give permission little stairway little piece carpet pair mirror face directions thousand little julias come middle manhattan wait lunch come ahoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh oohoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh corner house modern build house modern closet people sin pride envy second floor serra skate wait lunch come ahoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh wall right question horse race taxis winter look build imagine live imagine wolfords ball sink wait lunch come ahoohoohooh oohoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh ahoohoohooh oohoohooh oohoohooh oohoohoohooh,0.0009090748334769033,0.0009090748523652301,0.02111376312077095,0.0009090748754692967,0.0009090748302292113,0.5547696840442733,0.6716807675528884,0.4905368971887268,violence,1,3,1,2,1,1,0,2,7,6
19,demi lovato,this is our song,2010,pop,sing cmon sing song matter cause belong right nothin better sing summer song come grab guitar cause need song weary tire sing loud song matter cause belong right nothin better sing summer song song song thsi song sing sing sing sing song matter cause belong right nothin better sing summer song matter cause belong right nothin better sing summer song song song song,0.0010952736132569699,0.0010952738444268183,0.001095273609035998,0.0010952736301027262,0.0010952736109154447,0.4046257202627888,0.4832280792651156,0.7763779052688183,music,1,11,0,0,11,12,0,11,11,2
20,kevin rudolf,i made it (cash money heroes),2010,pop,yeah cash money heroes private jet polish look world know life dream life livin know doubt yeah know city believe fight yeah tell moneys fallin skyyyyy look world know life dream life livin know doubt yeah ymcmb baby birdman swag rooftop hella choppa burnin smoke stay strap priceless globe high life flippin paradise luxury marble floor nigga cash money see garbage stunna island money power rain shower floor timer things city view buy shawty range flip poppin throw hundreds uptown stunna look world know life dream life livin know doubt listen live glamourand care fame game funny things change believe callin look cash wanna know platinum turn fallin downnnnnn look damn world know life whoa dream life livin know doubt look come gutter lookin like motha goal line straight huddle cash money goldmine weezy stay loyal get money like thats word flag live leave bullshit dead hard bedrash andijust tell loaf bread pass star game drop world change hand feel good weezy build bitch rebuild young money look world world know life life dream life livin know doubt look,0.00036056555887166566,0.10411382579688648,0.0003605655645993316,0.00036056556382162245,0.00036056560113608506,0.31376681466644585,0.4857082541539768,0.8091956927150419,world/life,13,13,4,14,16,7,10,19,21,11
21,rihanna,california king bed,2010,pop,chest chest chest chest nose nose nose nose palm palm close close wrist wrist wrist wrist lips felt like inside come reach finger feel like distance california thousand apart california wish star heart california cheek cheek cheek cheek sleep dusk curtain draw little night sheet come reach finger like distance california thousand apart california wish star heart california felt like give turn give touch feel better eye wetter confuse wanna wanna weak maybe california dream california thousand apart california wish star heart california california california thousand apart california wish star heart california california,0.043591812706281145,0.0010666390340675217,0.0010666388577492334,0.4656083199784929,0.0010666389294613518,0.4768392059810489,0.3365214798566503,0.6638395124654386,sadness,0,4,4,0,4,0,0,4,4,1
22,passenger,shape of love,2010,pop,come inside rain look things swear know face know shape stir throw away cigarettes watch shiver rain sodden dress know makeup run hair mess shape want rain stop want leave coffee shop want cloud cause shape shape fit heart come inside wind blow yeah sing cause dont know ones go begin shape dont want shine want leave want summertime start cause shape shape fit heart want rain stop want leave coffee shop want cloud cause shape shape fit heart want shine want leave want summertime start cause shape shape fit heart,0.000602810327963466,0.05300312902704238,0.0006028104835779692,0.24134674185397145,0.0006028103714573701,0.4472096549387133,0.6688103498530966,0.5400347848311958,sadness,1,5,1,2,1,6,4,2,15,6
23,will reagan,nothing i hold on to (live),2010,pop,lean understand life hand maker heaven lean understand life hand maker heaven lean understand life hand maker heaven lean understand life hand maker heaven trust beautiful trust beautiful lean lean understand life hand maker heaven lean understand life hand maker heaven trust beautiful trust beautiful trust beautiful time sing trust beautiful climb mountain hand wide open climb mountain hand wide open climb mountain hand wide open climb mountain hand wide open climb mountain hand wide open climb mountain hand wide open climb mountain hand wide open climb mountain hand hold hold hold hold hold hold hold hold hold hold hold hold lean lean understand life hand maker heaven lean understand life hand maker heaven trust beautiful yeah trust beautiful trust beautiful trust beautiful,0.4972319811296023,0.0006240538059908798,0.0006240538020644305,0.0006240538009042447,0.0006240537871242669,0.596315870347798,0.3875085914062653,0.4969942389274095,romantic,0,10,0,0,11,1,0,11,11,0
24,ben rector,when a heart breaks,2010,pop,wake morning hear news know pain heartbreak answer know pain heartbreak yeah easy clear need till confusion doubt walk away walk away heart break hear doctor know fine time yesterday need answer need peace need help sleep yeah help sleep easy clear need till confusion doubt walk away walk away heart break heart break heart break heart break easy clear need till confusion doubt walk away walk away heart break heart break heart break,0.0007702401021240795,0.10623368706282492,0.0193508116936976,0.5933345840623225,0.000770240144428004,0.6649349829879762,0.1893866626357228,0.3978529817033061,sadness,3,2,0,8,1,5,8,5,2,8
25,demi lovato,you're my favorite song,2010,pop,word come easy think term doremi hike swim laugh instead tune know lift grind inspiration help sound like baseline halftime hold groove count hear radio want change single note try favorite song session write track class teach rehearsal band step reach look come naturally help right hear radio want change single note try favorite song favorite song hear radio yeah want change single note try favorite song favorite song,0.0010706833147137672,0.2186389609015966,0.0010706830807538168,0.0010706831120925603,0.0010706830658251747,0.5580647592473511,0.7104445531529996,0.3688152392563616,music,0,3,0,4,9,0,2,8,14,0
26,ellie goulding,lights,2010,pop,lose heart queen overthrow sleep dark hard beat keep strength need push light stop turn stone shine tell strong dream go cause call call call home call call call home light stop turn stone shine noise play head touch skin breathe think brother sister sleep unlock place time feel safe light stop turn stone shine tell strong dream go cause call call call home call call call home light stop turn stone shine home home home home light stop turn stone shine tell strong dream go cause call call call home call call call home light stop turn stone shine home home home home,0.00039951317413396234,0.059413044445478035,0.0003995131680389714,0.0189063286241033,0.03833708569806058,0.5150685200795462,0.5975947785806911,0.6101044908558447,music,7,2,1,2,1,2,1,3,9,9
27,maroon 5,give a little more,2010,pop,go come home babe come home taste best poison learn go baby wait wait feel wonder change little baby ohhh little baby fall fall fall fall little baby ohhh little baby wrong turn hard wait wait feel wonder change little baby ohhh little baby fall fall fall fall little baby ohhh little baby defense know gonna gonna pretend want feel fall fall fall fall little baby little baby fall fall fall fall little baby little baby,0.0004943216522783031,0.0004943215827799142,0.0004943215479404704,0.2296732414627496,0.038378755003655216,0.49928119898235107,0.6276704897991359,0.5500223457614297,sadness,2,5,1,4,13,17,0,0,15,23
28,monica,love all over me,2010,pop,pay attention step right notice deep go grind cloud look fell arm baby touch wanna completely cover skin change feel warmer blue hearts color life black white iridescent baby touch wanna completely cover baby muddy deep pain take shower begin clean take surprise come life baby moment hand heart baby beat baby touch wanna completely cover wanna completely cover,0.10496728475544828,0.0011557509051309462,0.0011557508842601355,0.13832063882698242,0.03132613860482718,0.5378628983853695,0.4507714247750618,0.6901984473121948,violence,0,2,1,3,10,4,1,7,15,4
29,sleeping with sirens,the bomb dot com v2.0,2010,pop,open like book word write misunderstand dishonest bring knees able speak testify help close eye eye open open strong blood hand killer enemy sake know fall save beautiful okay okay hand hold scar underneath swim oceans learn breathe tell listen strong blood hand killer enemy sake know fall save beautiful okay okay feel fingertips taste know clearly feel hand fingertips see clear know clear know fall save beautiful okay okay,0.02939589530667773,0.12971841262429892,0.000791403438857393,0.07912132040293543,0.0007914035262592184,0.3233233123817604,0.44108687051287865,0.8227709201933088,violence,4,1,4,4,7,5,0,4,9,8
30,kanye west,who will survive in america,2010,pop,live upsidedown word revolution people want hear preacher spill spiel card thoroughly pique america blood tear instead milk youngsters program continue fuck wake night dig revere good guy america strip close eye sign truth tattoo enter vagina learn amazement untold tale scandal long centuries bury musty vault hose daily gag perfume america bastard illegitimate daughter mother country legs spread world rapist know freedom freedoom democracy liberty justice revolutionary code name precede bubble bubble bubble bubble bubble mother country crotch soul want good home wife children food fee night say build route china survive america survive america survive america survive america,0.0009673203181180752,0.0009673203700027993,0.12256797069519773,0.0009673203286628057,0.03862629812840472,0.5380396068163849,0.4778410627526836,0.6823954826718139,violence,4,11,4,3,9,7,5,12,24,12
31,the national,bloodbuzz ohio,2010,pop,stand straight foot lift shirt stand straight foot lift shirt carry ohio swarm be marry ohio remember head hood head hood lyric commercial,0.003314358000545279,0.003314358028451768,0.003314358102944259,0.00331435802473976,0.003314357977293145,0.31347946557202955,0.5999807648069649,0.7360018897262935,violence,2,1,3,3,1,0,1,1,1,2
32,gorillaz,broken,2010,pop,distant star come black see worlds inside head connect fall breathe dive deep force sunlight arise outer heart space break break break break break away glitter freeze eye time meet light plasma screen switch night sleep force sunlight arise heart space break break break break break break break break break,0.001037848100684887,0.0010378480991593826,0.0010378480969207126,0.4663487012450711,0.0010378480853606119,0.331609155483328,0.4970094480731672,0.6523277986242788,sadness,2,2,1,2,2,2,14,1,1,4
33,kid cudi,maniac,2010,pop,black hole blacker paint black hole blacker yeah paint black hole blacker swear tell truth paint black hole blacker truth paint black hole blacker paint black hole blacker paint black hole blacker maniac ghoul ghoul shadow corner room room hideaway tomb tomb coffin place unruliness worry darkness yeah like cloak shield cape cape dark maybe darker darker marker maniac maniac maniac black hole blacker maniac fool monster lose cool yeah live inside eat black spray paint windows want spend time think lose wear shade night look aby nothingness picture black hole climb wall high fall water knees climb tree away disease maniac maniac maniac maniac maniac maniac maniac maniac black hole blacker,0.0008096618154020723,0.07482483932922243,0.000809661826836433,0.030485456738008912,0.0008096618139277535,0.535684285624863,0.4476518695832831,0.711421157601614,violence,18,3,5,20,1,22,3,5,6,35
34,enrique iglesias,dirty dancer,2010,pop,usher dirty girls world dirty dirty dancer night act like sleep drink listen wanna wanna touch greedy girl wanna wanna touch move dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer game play eye close insane tame turn animal yeah yeah yeah wanna wanna touch greedy girl wanna wanna touch move yeah yeah dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer satisfy better right lonely satisfy better right lonely dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer dirty dirty dancer dirty dirty dancer lonely dirty dirty dancer dirty dirty dancer girl stop dirty dancer girl stop girl stop dirty dancer girl stop girl stop dirty dancer girl stop girl stop stop,0.00032657721018705465,0.00032657718900800097,0.0003265771836585193,0.05527945799341771,0.0003265771817878611,0.4744578224770443,0.5488377217698843,0.6860107030987864,violence,9,0,64,9,0,8,0,1,1,65
35,escape the fate,this war is ours (the guillotine ii),2010,pop,better tragedy battle rag blood stain grind ears hear scream brave soldier die spartan stand shout smoke flame frontlines better stand grind conquer better flame dead drive insane defiant battle end conquer fear blackout arm swords yeah smoke flame frontlines better stand grind conquer better conquer lead smoke flame frontlines stand grind conquer conquer conquer conquer yeah smoke flame frontlines stand grind till conquer fight battle till fall conquer conquer yeah,0.0011591914071395688,0.0011591912087208292,0.0011591911806173199,0.0011591912234215779,0.0011591911783217373,0.3540257486874364,0.1282258480772439,0.9264001201044404,violence,10,0,2,6,0,4,2,0,2,12
36,two door cinema club,this is the life,2010,pop,feel right feel good cause thing work know true true cause life life life life life argue cause life life life life life argue year days start change thing cause life life life life life argue cause life life life life life argue cause life life life life life argue,0.001146727621780675,0.12250299720700332,0.0011467276072349296,0.0011467276426208358,0.07330569670607001,0.4290971989865939,0.3763563788404492,0.8086079491824035,world/life,5,2,0,1,1,0,1,1,1,5
37,my chemical romance,summertime,2010,pop,light break bone years crowd room highways home know pick grind brick hand lipgloss smile scrapedup knees stay night heart explode long dark harm away anytime want terrify see single people piece smash turn headphones real loud think need cause stop noise stay night heart explode long dark harm away anytime want anytime want anytime want walk away walk away walk away cause stay night heart explode long dark harm away write away anytime want,0.0007236642284234416,0.0007236642481422313,0.015565372381756691,0.3799512636495769,0.0146785478951674,0.4569272785693469,0.5034792215534468,0.6268208554672401,sadness,4,3,0,7,1,6,5,2,3,8
38,sara bareilles,send me the moon,2010,pop,hold breath leave deliver heart piece part leave weight lifetime watch grind gold flutter sweet send moon sky bring step closer send soon breathe breathe come view view inch away scar darling live ghost darkness light move night near stand sink like sand sweet send moon sky bring step closer send soon breathe breathe come view mind even distance hide safe chest finally want settle atmosphere sweet send moon sky bring step closer send soon breathe breathe come breathe breathe come breathe breathe breathe come view view,0.12537554494136344,0.0011006222602790044,0.1186964090382753,0.09320604921492237,0.0011006222211843123,0.6428850843304023,0.35478552684852954,0.649867942852615,violence,2,6,3,6,7,5,7,7,11,5
39,sufjan stevens,futile devices,2010,pop,long long time memorize face hours wander place sleep couch feel safe bring blanket cover face lyric commercial,0.0047945818456869346,0.004794581876062974,0.004794581834153721,0.004794582397459365,0.08967345477710903,0.765588205352601,0.4962273568589553,0.3993742975860174,violence,0,3,0,0,1,1,0,3,1,0
40,taylor swift,superman,2010,pop,tall dark superman put paper briefcase drive away save world work thing mother eye father ambition wonder know miss hang word smile fine forget tell forever watch superman away busy today save world watch superman away come someday right grind come tall dark beautiful complicate irrational someday away save yeah deep eye sayin like reputation hear single word leave place okay forget tell love watch superman away busy today save world watch superman away come someday right grind come watch world save girl forget forget away lovestruck look window forget forget right wish flower wish card wish cause love watch superman away busy today save world forever watch superman away swear someday right grind come come,0.02589030083971221,0.031540348094128104,0.019988405605943043,0.27871741384476845,0.00045475965956325037,0.4917765778709233,0.4814868485055762,0.6682648958256979,sadness,1,9,1,8,19,4,2,20,22,10
41,my chemical romance,sing,2010,pop,sing tomorrow bring sing girl tomorrow need time want count voice single time open mouth sing boys sing girls time lose sing world sing heart sing till nut sing ones hate gut sing deaf sing blind sing leave sing world sing world sing go sell tomorrow mean sing girl kill tomorrow bring choice music drown raise voice single time shut mouth sing boys sing girls time lose sing world sing heart sing till nut sing ones hate gut sing deaf sing blind sing leave sing world sing world cleanedup corporation progress die process children talk live webways people move sideways tell till days motivation generation dead scene product white dream singer want dancer refuse answer talk past write ones want away run sing boys sing girls time lose sing world sing heart sing till nut sing ones hate gut sing deaf sing blind sing leave sing world sing world tomorrow bring sing world sing world girl tomorrow need sing world sing world,0.0003190639132805017,0.00031906392690098854,0.016623537734112768,0.038076616628478416,0.00031906390564294786,0.5039017692573344,0.3077673160877436,0.8059998820976708,music,6,55,9,9,44,54,8,44,49,19
42,justin bieber,somebody to love,2010,pop,write symphony tell violin time sink swim watch play whoa run thousand step beat heart need admit world share know give attention baby listen need somebody need somebody somebody need promise girl swear need somebody need somebody need somebody need somebody need somebody bring sweep away cloud smile second single time spend like dime step beat heart need admit world share know give attention baby listen need somebody need somebody somebody need promise girl swear need somebody need somebody need somebody need somebody need somebody somebody need somebody need somebody need somebody need somebody need somebody want bring finer things yeah want cause money somebody somebody need somebody need somebody somebody need promise girl swear need somebody need somebody need somebody need somebody need somebody somebody need somebody need somebody need somebody need somebody need somebody need somebody need somebody need somebody need somebody,0.00030435352400408767,0.00030435354214220384,0.0003043535196333788,0.03890508602251773,0.2476211897908403,0.5597022274382102,0.4607747896457887,0.6415527044464261,feelings,1,8,0,2,11,0,2,10,16,0
43,sara bareilles,king of anything,2010,pop,drinkin coffee stare table look outside things able quiet count cars pass opinions entitle ask thank time waste fast hate break babe drown save care disagree lyric commercial,0.001764846531724961,0.0017648466636933087,0.001764846538712204,0.0017648466917713464,0.0017648465196811415,0.5131284087732341,0.6250015533915995,0.588265859072682,world/life,2,1,2,2,1,3,1,2,3,4
44,katy perry,the one that got away,2010,pop,summer high school mustang radiohead birthday match tattoo steal parent liquor climb roof talk future like clue plan lose life girl promise world life stay away away cash pact miss record whoa say tattoo remove downtown sing blue time face music longer muse life girl promise world life stay away away away money time machine replace million ring tell mean whoa cause life girl promise world life stay away away life stay away away,0.0006414702341461582,0.0322915735677024,0.0006414702144229168,0.1797335984532332,0.0006414703942319227,0.4901138803004791,0.6316474673682049,0.5722427061268234,world/life,6,8,1,4,9,7,3,9,9,4
45,hannah montana,i'll always remember you,2010,pop,know come stand future hand dream plan know years laughter tear think walk away pain hard goodbye yesterday go gotta move thankful moments know time like photograph hold heart forever remember chapter book look memories save ahead open doors know head wish wish luck world open hard goodbye yesterday go gotta move thankful moments know time like photograph hold heart forever remember good inside time share place touch life yeah look smile laugh right cause hard goodbye yesterday go gotta move thankful moments know time like photograph hold heart forever remember remember remember,0.10908348008885313,0.11024934704521476,0.0006695671409685721,0.2069172959331708,0.052947801923071684,0.3867458349029776,0.3111066687550592,0.8270232707029475,world/life,0,9,0,1,10,1,5,4,11,1
46,prince royce,stand by me,2010,pop,night come land dark brilla ante miedo tendre asustare long stand stand darling darling stand stand stand junto junto aunque montanas cielo caiga preocuparme porque estas junto llorare llorare shed tear porque estas junto darling darling stand stand stand stand stand class right darling darling stand stand stand junto junto darling darling stand stand stand junto junto come onswagtoo strongwhats nameroyce darling darling stand stand stand junto junto,0.20824586255659328,0.0009460643782989306,0.000946064504082198,0.0009460643958016184,0.0009460643670337023,0.4995877685535861,0.6260430809351972,0.5613485574056406,violence,0,1,0,0,10,1,0,10,11,1
47,neon trees,animal,2010,pop,kinda wanna friends easy afraid satisfy sick like animals play pretend cannibal afraid alive sleep tonight want wait bite heart tonight want wait wait goodbye heart tonight feel chemicals kickin get heavy wanna hide wanna hide time killin deny animal inside want wait bite heart tonight want wait wait goodbye heart tonight hush hush world quiet hush hush fight mess understand whoa sleep tonight want wait bite heart tonight want wait wait wait goodbye heart tonight want wait wait goodbye heart tonight,0.06483937714702254,0.018188280625128898,0.0005806184590931503,0.14779121391123812,0.0005806184729353814,0.36501198127955947,0.6354943047209174,0.6607082311154998,night/time,2,14,3,6,1,2,0,1,6,23
